track_id,spotify_id,title,track_artist,release_year,loudness,mode_name,decade
spotify:track:6i8ecOsx4J2Px1maiqzqoG,6i8ecOsx4J2Px1maiqzqoG,Everywhere,Fleetwood Mac,1987,-10.516,major,1980
spotify:track:6RXBjCDKM6vAGiX4ojUD1E,6RXBjCDKM6vAGiX4ojUD1E,Cover Me,Bruce Springsteen,1984,-11.476,minor,1980
spotify:track:7pkWZL0kA26s754CwyK0SH,7pkWZL0kA26s754CwyK0SH,Once Bitten Twice Shy,Great White,1989,-14.021,major,1980
spotify:track:5byYO8JjkxV27yQYo2pDRx,5byYO8JjkxV27yQYo2pDRx,Summergirls,Dino,1989,-15.2,minor,1980
spotify:track:3Drz2lTW7fHczqAoJ3dPWJ,3Drz2lTW7fHczqAoJ3dPWJ,霧のDOWN TOWN,オメガトライブ,1985,-6.26,minor,1980
spotify:track:2fY6tqgrlrg1ky9fgs0t5u,2fY6tqgrlrg1ky9fgs0t5u,Wanted Dead Or Alive,Bon Jovi,1986,-3.886,major,1980
spotify:track:0i5LBaRAugIBpBMEfNvN0e,0i5LBaRAugIBpBMEfNvN0e,Let Your Body Learn,Nitzer Ebb,1987,-12.576,major,1980
spotify:track:1aZLIbKEdsyqxyD6iNcrbA,1aZLIbKEdsyqxyD6iNcrbA,Pour Some Sugar On Me,Def Leppard,1987,-4.899,minor,1980
spotify:track:27Z1opuTMIEItuX9Gc0MBu,27Z1opuTMIEItuX9Gc0MBu,But Not Tonight,Depeche Mode,1986,-15.051,major,1980
spotify:track:0cSJGFChou7M6u2ju9SWN1,0cSJGFChou7M6u2ju9SWN1,Microphone Fiend,Eric B. & Rakim,1988,-8.71,major,1980
spotify:track:3kkWD4jESZLL9eXrzJypGH,3kkWD4jESZLL9eXrzJypGH,Boys Do Fall In Love,Robin Gibb,1984,-14.044,major,1980
spotify:track:7awBgmQ3B0YscMXPBwE1gQ,7awBgmQ3B0YscMXPBwE1gQ,Get on Your Feet,Gloria Estefan,1989,-10.036,major,1980
spotify:track:4rS4K30qVDExdjeU4feF4c,4rS4K30qVDExdjeU4feF4c,Keep the Fire Burning - Remastered Version,Gwen McCrae,1982,-13.806,minor,1980
spotify:track:57ysLbmFhxX9WL9e5QTAmz,57ysLbmFhxX9WL9e5QTAmz,The Way That You Love Me,Paula Abdul,1988,-8.297,major,1980
spotify:track:5F8WPtrurLmNE3tv6Sm14m,5F8WPtrurLmNE3tv6Sm14m,I Wanna Be Somebody,W.A.S.P.,1984,-7.051,minor,1980
spotify:track:2sXp9Qmvc7mRaDBjBgcGGi,2sXp9Qmvc7mRaDBjBgcGGi,Every Breath You Take - Remastered 2003,The Police,1983,-9.78,major,1980
spotify:track:4m3OS54KWywYhP7WD7z1cg,4m3OS54KWywYhP7WD7z1cg,Life in a Northern Town,The Dream Academy,1985,-13.342,major,1980
spotify:track:6iwWFPOSfhH6kArlU52fp0,6iwWFPOSfhH6kArlU52fp0,Give Blood,Pete Townshend,1985,-11.896,major,1980
spotify:track:6Ycf7Ch2VlEKlORbz7yfpJ,6Ycf7Ch2VlEKlORbz7yfpJ,Sweet Love,Anita Baker,1986,-5.699,minor,1980
spotify:track:2DcSehEocZhDogCJKCnXb3,2DcSehEocZhDogCJKCnXb3,Your Love Is King,Sade,1984,-6.797,major,1980
spotify:track:1CrWoWuxupYY1vi1XRdpBX,1CrWoWuxupYY1vi1XRdpBX,Something in My Heart,Michel'le,1989,-12.892,minor,1980
spotify:track:7ptv3yXdBWwzO7rVA62rwy,7ptv3yXdBWwzO7rVA62rwy,(Oh) Pretty Woman - 2015 Remaster,Van Halen,1982,-2.1,minor,1980
spotify:track:43GS3mtezoIFiuIZCLLiDY,43GS3mtezoIFiuIZCLLiDY,Every Rose Has Its Thorn - Remastered 2003,Poison,1988,-5.571,major,1980
spotify:track:1PUwqWUz1Zz345y1s9YRv1,1PUwqWUz1Zz345y1s9YRv1,Shakin',Eddie Money,1983,-10.241,major,1980
spotify:track:0uMMLry3hzWGn3q3loqMkm,0uMMLry3hzWGn3q3loqMkm,La Bamba - 45 Version,Los Lobos,1987,-12.239,major,1980
spotify:track:1XxUDJp9zsjd6tBSvE3la4,1XxUDJp9zsjd6tBSvE3la4,Heavy Metal,Sammy Hagar,1981,-11.674,major,1980
spotify:track:665Jxlgi1HamPKbW1vwzx4,665Jxlgi1HamPKbW1vwzx4,We Belong,Pat Benatar,1984,-14.108,major,1980
